DATE,BULAN,TAHUN,TINGGI HILAL MINIMUM,ELONGASI GEOSENTRIK MINIMUM,ELONGASI TOPOSENTRIK MINIMUM,BEDA AZIMUT MINIMUM,TINGGI HILAL MAKSIMUM,ELONGASI GEOSENTRIK MAKSIMUM,ELONGASI TOPOSENTRIK MAKSIMUM,BEDA AZIMUT MAKSIMUM,MABIMS NOT VISIBLE,MABIMS VISIBLE,ODEH NOT VISIBLE,ODEH VISIBLE OPTIC,ODEH VISIBLE NAKED EYE,KATSNER NOT VISIBLE,KATSNER VISIBLE OPTIC,KATSNER VISIBLE NAKED EYE
2010-6-12,7,1431,-3.94634964544252,1.84199229528188,1.82970125777118,1.45444713166035,-1.27004076725105,2.58444905321689,3.43544648197775,2.06782822477493,1,0,1,0,0,1,0,0
2010-7-12,8,1431,5.05323338847694,7.43067652616058,6.43679452517463,-4.21668636822102,7.40509013166316,9.58017406072315,8.6934895071272,-0.858572346205961,0,1,0,0.94,0.06,0,1,0
2010-8-10,9,1431,-0.221524623625749,4.55053085369326,4.0024645286352,-5.35974247867324,2.83627760807828,6.28264870800085,5.81650175226878,-3.57541172029613,1,0,1,0,0,0.68,0.32,0
2010-9-9,10,1431,6.9853215066351,13.9869197287844,13.1547896779755,-11.9858241162008,11.86026406897,15.845532656463,15.2115046780286,-7.47643627536394,0,1,0,0,1,0,0.41,0.59
2010-10-8,11,1431,2.6343533877924,9.25676702216992,8.60361650994865,-8.99664337307362,6.94287667723838,10.926744009185,10.331595138914,-6.22229866656858,0.04,0.96,0.23,0.76,0.01,0,1,0
2010-11-6,12,1431,-1.71264440691008,4.23575217842836,4.02375007154498,-4.86230017663371,1.69816793874632,5.31169532139814,4.92524498424457,-3.95327190161581,1,0,1,0,0,0.99,0.01,0
2010-12-6,1,1432,5.34402127113305,7.66832879973714,6.79339291413197,-3.07228145533409,7.77294136470641,9.55548100792432,8.61092632356329,0.284802864963325,0,1,0,0.86,0.14,0,1,0
2011-1-4,2,1432,-2.1067994250472,0.992014827740823,1.063362181657,0.934325475803775,-0.450976100793973,1.93072941064296,1.60303136992367,1.59585503186975,1,0,1,0,0,1,0,0
2011-2-3,3,1432,-0.893840436467953,4.6313086621037,4.27345203475491,4.07032361690122,1.91073815243137,5.88124014101349,5.62317123437671,5.49933599445328,1,0,1,0,0,0.95,0.05,0
2011-3-5,4,1432,-0.0488294432989022,7.33223219370808,6.9021015947759,6.22644088955155,3.52987259518857,8.52458084021546,8.26782378944779,8.03429071275502,0.93,0.07,1,0,0,0.5,0.5,0
2011-4-3,5,1432,-6.715753731388,4.96663834400827,5.46459655021029,2.4501844903063,-4.18780092216241,5.55903980919747,6.36987635050642,4.31859844844331,1,0,1,0,0,1,0,0
2011-5-3,6,1432,-2.8258688818426,3.43286222849024,3.49990619467496,3.25668692786792,-0.0118351001453218,3.99667421781111,3.95449093226596,3.90211772896726,1,0,1,0,0,1,0,0
2011-6-2,7,1432,3.14806903219066,5.49877943596799,4.68554603379598,0.400404692469351,5.53408901356925,7.30781805975406,6.3799323026706,2.87427909215001,0.5,0.5,0.78,0.22,0,0,1,0
2011-7-1,8,1432,-2.10307649185393,1.4238427765812,1.37044341031615,-1.88944770633339,-0.218184859418736,2.27621486967568,1.91499693822697,-1.33788426430493,1,0,1,0,0,1,0,0
2011-7-31,9,1432,3.83246425255647,8.63645528132626,7.81303831192111,-7.6187449050471,7.36112059810031,10.5003932831032,9.85091895178448,-4.45044101011331,0,1,0.06,0.9,0.04,0,1,0
2011-8-29,10,1432,-1.36063792789849,5.82889685323613,5.51764674046259,-6.80230153102332,2.24624346941831,7.1139894200148,6.88648543169393,-5.37160279262076,1,0,1,0,0,0.94,0.06,0
2011-9-28,11,1432,6.82491871085802,13.3818065479058,12.5560359490598,-11.1453874595597,11.5861755446917,15.191510470749,14.504984804221,-6.85438990620526,0,1,0,0,1,0,0.43,0.57
2011-10-27,12,1432,3.33332960587886,7.84287686617618,7.12490566230453,-6.61963866790526,7.07377106099042,9.74209940319273,8.87663608369264,-3.83577952298199,0,1,0.19,0.81,0,0,1,0
2011-11-25,1,1433,-1.02742642414788,1.51438904230908,1.0001977048666,-1.68619656508994,1.48608818820673,3.3861536201656,2.40425033582601,-0.633185704728845,1,0,1,0,0,0.92,0.08,0
2011-12-25,2,1433,5.42676240903251,8.18077468718309,7.22666936521426,1.56413137234708,7.9709949404573,10.1960415198242,9.364557752191,5.04548571255876,0,1,0,0.73,0.27,0,1,0
2012-1-23,3,1433,-2.86543362871433,3.95396324971122,4.04309606984839,3.85824379605796,-0.0667975893117229,4.69699042192131,4.71826601819812,4.68191494234003,1,0,1,0,0,1,0,0
2012-2-22,4,1433,-0.292984255391432,7.04090909016171,6.62021803943092,6.06769158560377,3.31597921659948,8.30357310120598,8.04394924024056,7.83444790164612,0.97,0.03,1,0,0,0.61,0.39,0
2012-3-22,5,1433,-6.70145067572625,4.78936921866623,5.32121149149463,2.21557916069099,-4.25368271874937,5.43446714656924,6.27044294625065,4.080938109812,1,0,1,0,0,1,0,0
2012-4-21,6,1433,-2.8383936266393,2.8938929195484,3.01032163089608,2.67285321097256,-0.325735638370003,3.41484537429486,3.41958492713797,3.34427266710895,1,0,1,0,0,1,0,0
2012-5-21,7,1433,1.72992563641181,3.82671417532808,3.03794666699405,0.281320071022549,3.75508457404877,5.49279240523296,4.59699048809474,2.09661556137053,1,0,1,0,0,0,1,0
2012-6-19,8,1433,-4.83501798833229,2.4280599504961,3.08547571467663,-2.50577101428399,-2.9006837137496,3.63297267351338,4.33403602251911,-1.46454729772751,1,0,1,0,0,1,0,0
2012-7-18,9,1433,-1.0556964563203,4.62656363615701,4.29635640529812,-5.28464947154095,1.85950755147635,5.71002231504362,5.42576827000692,-4.14674303014431,1,0,1,0,0,0.96,0.04,0
